name|code|DdxNum|DdxPer|DdzNum|DdzPer|TddzNum|TddzPer|TotalNum|TotalPer|DayNum
<a target="_blank" href="http://localhost/ForeShadowAlpha/Chart.php?code=sz300429"><span class="fore-stock-name">强力新材</span><span class="fore-stock-spell displaynone">300429QLXC</span></a>|<span class="fore-stock-code">sz300429</span>|12|0.6|8|0.4|11|0.55|34|0.5667|20
<a target="_blank" href="http://localhost/ForeShadowAlpha/Chart.php?code=sh600216"><span class="fore-stock-name">浙江医药</span><span class="fore-stock-spell displaynone">600216ZJYY</span></a>|<span class="fore-stock-code">sh600216</span>|10|0.5|8|0.4|12|0.6|34|0.5667|20
<a target="_blank" href="http://localhost/ForeShadowAlpha/Chart.php?code=sz300347"><span class="fore-stock-name">泰格医药</span><span class="fore-stock-spell displaynone">300347TGYY</span></a>|<span class="fore-stock-code">sz300347</span>|10|0.5|8|0.4|12|0.6|34|0.5667|20
<a target="_blank" href="http://localhost/ForeShadowAlpha/Chart.php?code=sz002009"><span class="fore-stock-name">天奇股份</span><span class="fore-stock-spell displaynone">002009TQGF</span></a>|<span class="fore-stock-code">sz002009</span>|11|0.55|8|0.4|12|0.6|35|0.5834|20
<a target="_blank" href="http://localhost/ForeShadowAlpha/Chart.php?code=sh603883"><span class="fore-stock-name">老百姓</span><span class="fore-stock-spell displaynone">603883LBX</span></a>|<span class="fore-stock-code">sh603883</span>|10|0.5|8|0.4|13|0.65|36|0.6|20
<a target="_blank" href="http://localhost/ForeShadowAlpha/Chart.php?code=sz300177"><span class="fore-stock-name">中海达</span><span class="fore-stock-spell displaynone">300177ZHD</span></a>|<span class="fore-stock-code">sz300177</span>|10|0.5|8|0.4|13|0.65|36|0.6|20
<a target="_blank" href="http://localhost/ForeShadowAlpha/Chart.php?code=sh600262"><span class="fore-stock-name">北方股份</span><span class="fore-stock-spell displaynone">600262BFGF</span></a>|<span class="fore-stock-code">sh600262</span>|12|0.6|8|0.4|13|0.65|38|0.6334|20
<a target="_blank" href="http://localhost/ForeShadowAlpha/Chart.php?code=sz002751"><span class="fore-stock-name">易尚展示</span><span class="fore-stock-spell displaynone">002751YSZS</span></a>|<span class="fore-stock-code">sz002751</span>|12|0.6|8|0.4|13|0.65|38|0.6334|20
<a target="_blank" href="http://localhost/ForeShadowAlpha/Chart.php?code=sh601601"><span class="fore-stock-name">中国太保</span><span class="fore-stock-spell displaynone">601601ZGTB</span></a>|<span class="fore-stock-code">sh601601</span>|14|0.7|8|0.4|13|0.65|40|0.6667|20
<a target="_blank" href="http://localhost/ForeShadowAlpha/Chart.php?code=sh603309"><span class="fore-stock-name">维力医疗</span><span class="fore-stock-spell displaynone">603309WLYL</span></a>|<span class="fore-stock-code">sh603309</span>|11|0.55|8|0.4|14|0.7|39|0.65|20
<a target="_blank" href="http://localhost/ForeShadowAlpha/Chart.php?code=sh601288"><span class="fore-stock-name">农业银行</span><span class="fore-stock-spell displaynone">601288NYYH</span></a>|<span class="fore-stock-code">sh601288</span>|14|0.7|8|0.4|15|0.75|44|0.7334|20
<a target="_blank" href="http://localhost/ForeShadowAlpha/Chart.php?code=sz300459"><span class="fore-stock-name">浙江金科</span><span class="fore-stock-spell displaynone">300459ZJJK</span></a>|<span class="fore-stock-code">sz300459</span>|10|0.5883|7|0.4118|10|0.5883|30|0.5883|17
<a target="_blank" href="http://localhost/ForeShadowAlpha/Chart.php?code=sh603222"><span class="fore-stock-name">济民制药</span><span class="fore-stock-spell displaynone">603222JMZY</span></a>|<span class="fore-stock-code">sh603222</span>|13|0.65|9|0.45|10|0.5|33|0.55|20
<a target="_blank" href="http://localhost/ForeShadowAlpha/Chart.php?code=sz002271"><span class="fore-stock-name">东方雨虹</span><span class="fore-stock-spell displaynone">002271DFYH</span></a>|<span class="fore-stock-code">sz002271</span>|10|0.5|9|0.45|11|0.55|32|0.5334|20
<a target="_blank" href="http://localhost/ForeShadowAlpha/Chart.php?code=sz000888"><span class="fore-stock-name">峨眉山Ａ</span><span class="fore-stock-spell displaynone">000888EMSA</span></a>|<span class="fore-stock-code">sz000888</span>|11|0.55|9|0.45|11|0.55|33|0.55|20
<a target="_blank" href="http://localhost/ForeShadowAlpha/Chart.php?code=sz000952"><span class="fore-stock-name">广济药业</span><span class="fore-stock-spell displaynone">000952GJYY</span></a>|<span class="fore-stock-code">sz000952</span>|11|0.55|9|0.45|11|0.55|33|0.55|20
<a target="_blank" href="http://localhost/ForeShadowAlpha/Chart.php?code=sz002617"><span class="fore-stock-name">露笑科技</span><span class="fore-stock-spell displaynone">002617LXKJ</span></a>|<span class="fore-stock-code">sz002617</span>|11|0.55|9|0.45|11|0.55|33|0.55|20
<a target="_blank" href="http://localhost/ForeShadowAlpha/Chart.php?code=sz000595"><span class="fore-stock-name">宝塔实业</span><span class="fore-stock-spell displaynone">000595BTSY</span></a>|<span class="fore-stock-code">sz000595</span>|10|0.5|9|0.45|12|0.6|34|0.5667|20
<a target="_blank" href="http://localhost/ForeShadowAlpha/Chart.php?code=sz000792"><span class="fore-stock-name">盐湖股份</span><span class="fore-stock-spell displaynone">000792YHGF</span></a>|<span class="fore-stock-code">sz000792</span>|10|0.5|9|0.45|12|0.6|34|0.5667|20
<a target="_blank" href="http://localhost/ForeShadowAlpha/Chart.php?code=sz002625"><span class="fore-stock-name">龙生股份</span><span class="fore-stock-spell displaynone">002625LSGF</span></a>|<span class="fore-stock-code">sz002625</span>|10|0.5|9|0.45|12|0.6|34|0.5667|20
<a target="_blank" href="http://localhost/ForeShadowAlpha/Chart.php?code=sh603636"><span class="fore-stock-name">南威软件</span><span class="fore-stock-spell displaynone">603636NWRJ</span></a>|<span class="fore-stock-code">sh603636</span>|11|0.55|9|0.45|12|0.6|35|0.5834|20
<a target="_blank" href="http://localhost/ForeShadowAlpha/Chart.php?code=sz002695"><span class="fore-stock-name">煌上煌</span><span class="fore-stock-spell displaynone">002695HSH</span></a>|<span class="fore-stock-code">sz002695</span>|11|0.55|9|0.45|12|0.6|35|0.5834|20
<a target="_blank" href="http://localhost/ForeShadowAlpha/Chart.php?code=sz002768"><span class="fore-stock-name">国恩股份</span><span class="fore-stock-spell displaynone">002768GEGF</span></a>|<span class="fore-stock-code">sz002768</span>|11|0.55|9|0.45|12|0.6|35|0.5834|20
<a target="_blank" href="http://localhost/ForeShadowAlpha/Chart.php?code=sz000568"><span class="fore-stock-name">泸州老窖</span><span class="fore-stock-spell displaynone">000568LZLJ</span></a>|<span class="fore-stock-code">sz000568</span>|12|0.6|9|0.45|12|0.6|36|0.6|20
