name|code|MaxRange|DayNum|message_score_max|message_score_min|message_score_dis|basic_score_max|basic_score_min|total_score_max|total_score_min
<a target="_blank" href="/Chart.php?code=sh600520"><span class="fore-stock-name">中发科技</span><span class="fore-stock-spell displaynone">600520ZFKJ</span></a>|<span class="fore-stock-code">sh600520</span>|0.29|6|5.5|5.5|0|4.3|4.3|6.3|6.3
<a target="_blank" href="/Chart.php?code=sz300213"><span class="fore-stock-name">佳讯飞鸿</span><span class="fore-stock-spell displaynone">300213JXFH</span></a>|<span class="fore-stock-code">sz300213</span>|0.29|6|5.7|5.7|0|6.1|6.1|5.9|5.9
<a target="_blank" href="/Chart.php?code=sh600716"><span class="fore-stock-name">凤凰股份</span><span class="fore-stock-spell displaynone">600716FHGF</span></a>|<span class="fore-stock-code">sh600716</span>|0.29|6|3.7|3.7|0|4.8|4.8|5.6|5.6
<a target="_blank" href="/Chart.php?code=sz000516"><span class="fore-stock-name">国际医学</span><span class="fore-stock-spell displaynone">000516GJYX</span></a>|<span class="fore-stock-code">sz000516</span>|0.29|6|5.5|5.5|0|5.7|5.7|5.6|5.6
<a target="_blank" href="/Chart.php?code=sz002407"><span class="fore-stock-name">多氟多</span><span class="fore-stock-spell displaynone">002407DFD</span></a>|<span class="fore-stock-code">sz002407</span>|0.29|6|8.7|8.7|0|6.2|6.2|6.8|6.8
<a target="_blank" href="/Chart.php?code=sh601886"><span class="fore-stock-name">江河创建</span><span class="fore-stock-spell displaynone">601886JHCJ</span></a>|<span class="fore-stock-code">sh601886</span>|0.29|6|5.5|5.5|0|6|6|6.6|6.6
<a target="_blank" href="/Chart.php?code=sz000410"><span class="fore-stock-name">沈阳机床</span><span class="fore-stock-spell displaynone">000410SYJC</span></a>|<span class="fore-stock-code">sz000410</span>|0.29|6|4.8|4.8|0|4.8|4.8|5.3|5.3
<a target="_blank" href="/Chart.php?code=sz002424"><span class="fore-stock-name">贵州百灵</span><span class="fore-stock-spell displaynone">002424GZBL</span></a>|<span class="fore-stock-code">sz002424</span>|0.29|6|5.6|5.6|0|5.2|5.2|4.6|4.6
<a target="_blank" href="/Chart.php?code=sz300396"><span class="fore-stock-name">迪瑞医疗</span><span class="fore-stock-spell displaynone">300396DRYL</span></a>|<span class="fore-stock-code">sz300396</span>|0.29|6|6.4|6.4|0|5.3|5.3|5.7|5.7
<a target="_blank" href="/Chart.php?code=sz002578"><span class="fore-stock-name">闽发铝业</span><span class="fore-stock-spell displaynone">002578MFLY</span></a>|<span class="fore-stock-code">sz002578</span>|0.29|6|4.5|4.5|0|5.8|5.8|5.8|5.8
<a target="_blank" href="/Chart.php?code=sz002223"><span class="fore-stock-name">鱼跃医疗</span><span class="fore-stock-spell displaynone">002223YYYL</span></a>|<span class="fore-stock-code">sz002223</span>|0.29|6|6.5|6.5|0|6.2|6.2|6.1|6.1
<a target="_blank" href="/Chart.php?code=sz002229"><span class="fore-stock-name">鸿博股份</span><span class="fore-stock-spell displaynone">002229HBGF</span></a>|<span class="fore-stock-code">sz002229</span>|0.29|6|3.6|3.6|0|4.7|4.7|5.7|5.7
<a target="_blank" href="/Chart.php?code=sz002364"><span class="fore-stock-name">中恒电气</span><span class="fore-stock-spell displaynone">002364ZHDQ</span></a>|<span class="fore-stock-code">sz002364</span>|0.28|6|7|7|0|6|6|6.6|6.6
<a target="_blank" href="/Chart.php?code=sz300078"><span class="fore-stock-name">中瑞思创</span><span class="fore-stock-spell displaynone">300078ZRSC</span></a>|<span class="fore-stock-code">sz300078</span>|0.28|6|6.2|6.2|0|7.1|7.1|5.8|5.8
<a target="_blank" href="/Chart.php?code=sz002559"><span class="fore-stock-name">亚威股份</span><span class="fore-stock-spell displaynone">002559YWGF</span></a>|<span class="fore-stock-code">sz002559</span>|0.28|6|4.3|4.3|0|5.1|5.1|5.3|5.3
<a target="_blank" href="/Chart.php?code=sz002010"><span class="fore-stock-name">传化股份</span><span class="fore-stock-spell displaynone">002010CHGF</span></a>|<span class="fore-stock-code">sz002010</span>|0.28|6|8.5|8.5|0|5.3|5.3|6.1|6.1
<a target="_blank" href="/Chart.php?code=sz002173"><span class="fore-stock-name">千足珍珠</span><span class="fore-stock-spell displaynone">002173QZZZ</span></a>|<span class="fore-stock-code">sz002173</span>|0.28|6|5.2|5.2|0|5.2|5.2|6.1|6.1
<a target="_blank" href="/Chart.php?code=sz002162"><span class="fore-stock-name">斯米克</span><span class="fore-stock-spell displaynone">002162SMK</span></a>|<span class="fore-stock-code">sz002162</span>|0.28|6|5.7|5.7|0|5.4|5.4|5.9|5.9
<a target="_blank" href="/Chart.php?code=sh600975"><span class="fore-stock-name">新五丰</span><span class="fore-stock-spell displaynone">600975XWF</span></a>|<span class="fore-stock-code">sh600975</span>|0.28|6|6.2|6.2|0|4.9|4.9|6.4|6.4
<a target="_blank" href="/Chart.php?code=sz002769"><span class="fore-stock-name">普路通</span><span class="fore-stock-spell displaynone">002769PLT</span></a>|<span class="fore-stock-code">sz002769</span>|0.28|6|8.5|8.5|0|4.4|4.4|5.3|5.3
<a target="_blank" href="/Chart.php?code=sz000615"><span class="fore-stock-name">湖北金环</span><span class="fore-stock-spell displaynone">000615HBJH</span></a>|<span class="fore-stock-code">sz000615</span>|0.28|6|7|7|0|6.5|6.5|6.2|6.2
<a target="_blank" href="/Chart.php?code=sh600476"><span class="fore-stock-name">湘邮科技</span><span class="fore-stock-spell displaynone">600476XYKJ</span></a>|<span class="fore-stock-code">sh600476</span>|0.28|6|5.5|5.5|0|5.2|5.2|5.7|5.7
<a target="_blank" href="/Chart.php?code=sh603315"><span class="fore-stock-name">福鞍股份</span><span class="fore-stock-spell displaynone">603315FAGF</span></a>|<span class="fore-stock-code">sh603315</span>|0.28|6|5.5|5.5|0|5|5|5.1|5.1
<a target="_blank" href="/Chart.php?code=sh600526"><span class="fore-stock-name">菲达环保</span><span class="fore-stock-spell displaynone">600526FDHB</span></a>|<span class="fore-stock-code">sh600526</span>|0.28|6|5.5|5.5|0|6|6|6|6
<a target="_blank" href="/Chart.php?code=sh600609"><span class="fore-stock-name">金杯汽车</span><span class="fore-stock-spell displaynone">600609JBQC</span></a>|<span class="fore-stock-code">sh600609</span>|0.28|6|5.5|5.5|0|6|6|5.7|5.7
<a target="_blank" href="/Chart.php?code=sz300231"><span class="fore-stock-name">银信科技</span><span class="fore-stock-spell displaynone">300231YXKJ</span></a>|<span class="fore-stock-code">sz300231</span>|0.28|6|9.1|9.1|0|5.5|5.5|6.1|6.1
<a target="_blank" href="/Chart.php?code=sz300276"><span class="fore-stock-name">三丰智能</span><span class="fore-stock-spell displaynone">300276SFZN</span></a>|<span class="fore-stock-code">sz300276</span>|0.27|6|4.9|4.9|0|5.1|5.1|5.6|5.6
<a target="_blank" href="/Chart.php?code=sz002004"><span class="fore-stock-name">华邦颖泰</span><span class="fore-stock-spell displaynone">002004HBYT</span></a>|<span class="fore-stock-code">sz002004</span>|0.27|6|5.7|5.7|0|5.6|5.6|5.7|5.7
<a target="_blank" href="/Chart.php?code=sh601137"><span class="fore-stock-name">博威合金</span><span class="fore-stock-spell displaynone">601137BWHJ</span></a>|<span class="fore-stock-code">sh601137</span>|0.27|6|5.5|5.5|0|7.3|7.3|6.8|6.8
<a target="_blank" href="/Chart.php?code=sh603008"><span class="fore-stock-name">喜临门</span><span class="fore-stock-spell displaynone">603008XLM</span></a>|<span class="fore-stock-code">sh603008</span>|0.27|6|5.6|5.6|0|6.1|6.1|6.3|6.3
<a target="_blank" href="/Chart.php?code=sz300391"><span class="fore-stock-name">康跃科技</span><span class="fore-stock-spell displaynone">300391KYKJ</span></a>|<span class="fore-stock-code">sz300391</span>|0.27|6|4|4|0|5.4|5.4|5.5|5.5
<a target="_blank" href="/Chart.php?code=sz300358"><span class="fore-stock-name">楚天科技</span><span class="fore-stock-spell displaynone">300358CTKJ</span></a>|<span class="fore-stock-code">sz300358</span>|0.27|6|4.8|4.8|0|5.7|5.7|5.4|5.4
<a target="_blank" href="/Chart.php?code=sh600336"><span class="fore-stock-name">澳柯玛</span><span class="fore-stock-spell displaynone">600336AKM</span></a>|<span class="fore-stock-code">sh600336</span>|0.27|6|5.5|5.5|0|6|6|5.6|5.6
