name|code|mess_score_yesterday|mess_score_today|mess_score_change|mess_score_max_40d|mess_score_min_40d
<a target="_blank" href="/Chart.php?code=sh600477"><span class="fore-stock-name">杭萧钢构</span><span class="fore-stock-spell displaynone">600477HXGG</span></a>|<span class="fore-stock-code">sh600477</span>|6.6|7.2|0.6|8.2|5.6
<a target="_blank" href="/Chart.php?code=sh600481"><span class="fore-stock-name">双良节能</span><span class="fore-stock-spell displaynone">600481SLJN</span></a>|<span class="fore-stock-code">sh600481</span>|4.9|5.1|0.2|6.3|4.9
<a target="_blank" href="/Chart.php?code=sh600483"><span class="fore-stock-name">福能股份</span><span class="fore-stock-spell displaynone">600483FNGF</span></a>|<span class="fore-stock-code">sh600483</span>|5.6|5.9|0.3|6.3|5.6
<a target="_blank" href="/Chart.php?code=sh600496"><span class="fore-stock-name">精工钢构</span><span class="fore-stock-spell displaynone">600496JGGG</span></a>|<span class="fore-stock-code">sh600496</span>|5.5|5.6|0.1|5.9|5.5
<a target="_blank" href="/Chart.php?code=sh600497"><span class="fore-stock-name">驰宏锌锗</span><span class="fore-stock-spell displaynone">600497CHXZ</span></a>|<span class="fore-stock-code">sh600497</span>|6|6.1|0.1|6.1|2.5
<a target="_blank" href="/Chart.php?code=sh600510"><span class="fore-stock-name">黑牡丹</span><span class="fore-stock-spell displaynone">600510HMD</span></a>|<span class="fore-stock-code">sh600510</span>|5.8|6|0.2|6|5.5
<a target="_blank" href="/Chart.php?code=sh600522"><span class="fore-stock-name">中天科技</span><span class="fore-stock-spell displaynone">600522ZTKJ</span></a>|<span class="fore-stock-code">sh600522</span>|6|6.2|0.2|6.2|5.5
<a target="_blank" href="/Chart.php?code=sh600523"><span class="fore-stock-name">贵航股份</span><span class="fore-stock-spell displaynone">600523GHGF</span></a>|<span class="fore-stock-code">sh600523</span>|5.8|6|0.2|6.2|5.5
<a target="_blank" href="/Chart.php?code=sh600525"><span class="fore-stock-name">长园集团</span><span class="fore-stock-spell displaynone">600525CYJT</span></a>|<span class="fore-stock-code">sh600525</span>|5.6|5.7|0.1|6.6|5.6
<a target="_blank" href="/Chart.php?code=sh600526"><span class="fore-stock-name">菲达环保</span><span class="fore-stock-spell displaynone">600526FDHB</span></a>|<span class="fore-stock-code">sh600526</span>|5.6|5.8|0.2|7.8|5.6
<a target="_blank" href="/Chart.php?code=sh600530"><span class="fore-stock-name">交大昂立</span><span class="fore-stock-spell displaynone">600530JDAL</span></a>|<span class="fore-stock-code">sh600530</span>|5.7|5.9|0.2|6.6|5.7
<a target="_blank" href="/Chart.php?code=sh600532"><span class="fore-stock-name">宏达矿业</span><span class="fore-stock-spell displaynone">600532HDKY</span></a>|<span class="fore-stock-code">sh600532</span>|5.3|5.4|0.1|5.5|4
<a target="_blank" href="/Chart.php?code=sh600546"><span class="fore-stock-name">山煤国际</span><span class="fore-stock-spell displaynone">600546SMGJ</span></a>|<span class="fore-stock-code">sh600546</span>|5.2|5.3|0.1|6.3|1.9
<a target="_blank" href="/Chart.php?code=sh600548"><span class="fore-stock-name">深高速</span><span class="fore-stock-spell displaynone">600548SGS</span></a>|<span class="fore-stock-code">sh600548</span>|5.6|5.8|0.2|7.2|5.6
<a target="_blank" href="/Chart.php?code=sh600565"><span class="fore-stock-name">迪马股份</span><span class="fore-stock-spell displaynone">600565DMGF</span></a>|<span class="fore-stock-code">sh600565</span>|5.6|5.7|0.1|6.2|5.5
<a target="_blank" href="/Chart.php?code=sh600569"><span class="fore-stock-name">安阳钢铁</span><span class="fore-stock-spell displaynone">600569AYGT</span></a>|<span class="fore-stock-code">sh600569</span>|5.7|5.8|0.1|5.8|3.3
<a target="_blank" href="/Chart.php?code=sh600572"><span class="fore-stock-name">康恩贝</span><span class="fore-stock-spell displaynone">600572KEB</span></a>|<span class="fore-stock-code">sh600572</span>|5.6|5.7|0.1|5.9|5.5
<a target="_blank" href="/Chart.php?code=sh600578"><span class="fore-stock-name">京能电力</span><span class="fore-stock-spell displaynone">600578JNDL</span></a>|<span class="fore-stock-code">sh600578</span>|5.7|5.8|0.1|6.4|5.6
<a target="_blank" href="/Chart.php?code=sh600586"><span class="fore-stock-name">金晶科技</span><span class="fore-stock-spell displaynone">600586JJKJ</span></a>|<span class="fore-stock-code">sh600586</span>|5.8|6|0.2|7.7|5.7
<a target="_blank" href="/Chart.php?code=sh600592"><span class="fore-stock-name">龙溪股份</span><span class="fore-stock-spell displaynone">600592LXGF</span></a>|<span class="fore-stock-code">sh600592</span>|4|4.3|0.3|5.9|4
<a target="_blank" href="/Chart.php?code=sh600595"><span class="fore-stock-name">中孚实业</span><span class="fore-stock-spell displaynone">600595ZFSY</span></a>|<span class="fore-stock-code">sh600595</span>|5.8|6|0.2|6.3|5.5
<a target="_blank" href="/Chart.php?code=sh600601"><span class="fore-stock-name">方正科技</span><span class="fore-stock-spell displaynone">600601FZKJ</span></a>|<span class="fore-stock-code">sh600601</span>|5.6|5.9|0.3|6.2|2.4
<a target="_blank" href="/Chart.php?code=sh600606"><span class="fore-stock-name">金丰投资</span><span class="fore-stock-spell displaynone">600606JFTZ</span></a>|<span class="fore-stock-code">sh600606</span>|5.6|5.7|0.1|6.3|5.6
<a target="_blank" href="/Chart.php?code=sh600608"><span class="fore-stock-name">*ST沪科</span><span class="fore-stock-spell displaynone">600608STHK</span></a>|<span class="fore-stock-code">sh600608</span>|4.6|4.8|0.2|7.7|4.5
<a target="_blank" href="/Chart.php?code=sh600620"><span class="fore-stock-name">天宸股份</span><span class="fore-stock-spell displaynone">600620TCGF</span></a>|<span class="fore-stock-code">sh600620</span>|5.6|5.8|0.2|6.6|5
<a target="_blank" href="/Chart.php?code=sh600623"><span class="fore-stock-name">双钱股份</span><span class="fore-stock-spell displaynone">600623SQGF</span></a>|<span class="fore-stock-code">sh600623</span>|5.6|5.7|0.1|7.3|5.6
<a target="_blank" href="/Chart.php?code=sh600638"><span class="fore-stock-name">新黄浦</span><span class="fore-stock-spell displaynone">600638XHP</span></a>|<span class="fore-stock-code">sh600638</span>|5.6|5.7|0.1|7.5|5.5
<a target="_blank" href="/Chart.php?code=sh600644"><span class="fore-stock-name">*ST乐电</span><span class="fore-stock-spell displaynone">600644STLD</span></a>|<span class="fore-stock-code">sh600644</span>|5.8|5.9|0.1|7.1|5.5
<a target="_blank" href="/Chart.php?code=sh600649"><span class="fore-stock-name">城投控股</span><span class="fore-stock-spell displaynone">600649CTKG</span></a>|<span class="fore-stock-code">sh600649</span>|5.2|5.4|0.2|6.7|4.7
<a target="_blank" href="/Chart.php?code=sh600651"><span class="fore-stock-name">飞乐音响</span><span class="fore-stock-spell displaynone">600651FLYX</span></a>|<span class="fore-stock-code">sh600651</span>|5.6|5.8|0.2|6.9|5.5
<a target="_blank" href="/Chart.php?code=sh600652"><span class="fore-stock-name">游久游戏</span><span class="fore-stock-spell displaynone">600652YJYX</span></a>|<span class="fore-stock-code">sh600652</span>|5.5|5.6|0.1|6.9|3.9
<a target="_blank" href="/Chart.php?code=sh600665"><span class="fore-stock-name">天地源</span><span class="fore-stock-spell displaynone">600665TDY</span></a>|<span class="fore-stock-code">sh600665</span>|4.9|5.1|0.2|6.2|3.6
<a target="_blank" href="/Chart.php?code=sh600667"><span class="fore-stock-name">太极实业</span><span class="fore-stock-spell displaynone">600667TJSY</span></a>|<span class="fore-stock-code">sh600667</span>|5.5|5.6|0.1|6.2|5.5
<a target="_blank" href="/Chart.php?code=sh600681"><span class="fore-stock-name">万鸿集团</span><span class="fore-stock-spell displaynone">600681WHJT</span></a>|<span class="fore-stock-code">sh600681</span>|5.6|5.7|0.1|5.7|5
<a target="_blank" href="/Chart.php?code=sh600682"><span class="fore-stock-name">南京新百</span><span class="fore-stock-spell displaynone">600682NJXB</span></a>|<span class="fore-stock-code">sh600682</span>|5.2|5.3|0.1|6.1|3
<a target="_blank" href="/Chart.php?code=sh600693"><span class="fore-stock-name">东百集团</span><span class="fore-stock-spell displaynone">600693DBJT</span></a>|<span class="fore-stock-code">sh600693</span>|5.1|5.5|0.4|6|5.1
<a target="_blank" href="/Chart.php?code=sh600697"><span class="fore-stock-name">欧亚集团</span><span class="fore-stock-spell displaynone">600697OYJT</span></a>|<span class="fore-stock-code">sh600697</span>|5.8|5.9|0.1|7.1|5
